NOEUD_O;NOEUD_D;VL_HCE
7778;9436;0.39
7778;9437;0.03
7778;9439;0.01
7778;9441;1.07
7778;9448;5.13
7778;9449;3.56
7778;9450;3.7
7778;9451;6.91
7778;9452;14.38
7778;9453;3.46
7778;9454;7.7
7778;9455;2.86
7778;9456;1.82
7778;9457;2.91
7778;9458;1.95
7778;9459;1.27
7778;9460;4.47
7778;9461;2.36
7778;9462;2.57
7778;9463;1.82
7778;9464;4.32
7778;9465;0.42
7778;9466;0.3
7778;9467;0.83
7778;9468;0.72
7778;9469;0.83
7778;9470;0.56
7778;9471;0.78
7778;9472;0.21
7778;9473;0.29
7778;9474;0.77
7778;9475;0.61
7778;9476;0.81
7778;9477;2.17
7778;9478;3.13
7778;9479;1.34
7778;9480;0.36
7778;9481;0.74
7778;9482;0.55
7778;9483;2.15
7778;9484;0.59
7778;9485;0.6
7778;9486;0.62
7778;9487;1.32
7778;9488;0.72
7778;9489;0.73
7778;9490;0.86
7778;9491;1.21
7778;9492;1.1
7778;9493;3.9
7778;9494;2.38
7778;9495;2.34
7778;9496;1.77
7778;9497;0.98
7778;9498;0.02
7778;9499;0.07
7778;9500;0.08
7778;9501;1.49
7778;9502;1.99
7778;9503;4.31
7778;9504;0.73
7778;9505;0.82
7778;9506;0.78
7778;9507;2.57
7778;9508;0.91
7778;9509;0.29
7778;9510;5.58
7778;9511;2.84
7778;9512;3.71
7778;9513;0.39
7778;9514;0.71
7778;9515;1.98
7778;9516;2.19
7778;9517;0.99
7778;9518;0.14
7778;9519;0.9
7778;9520;1.35
7778;9521;0.43
7778;9522;0.66
7778;9523;0.35
7778;9524;1.38
7778;9525;0.05
7778;9526;0.04
7778;9527;0.12
7778;9528;0.02
7778;9529;0.05
7778;9530;0
7778;9531;0
7778;9532;0.02
7778;9533;0.02
7778;9534;0.09
7778;9535;0.16
7778;9536;0.17
7778;9537;0.06
7778;9538;0.02
7778;9539;0.06
7778;9540;0.1
7778;9541;0.15
7778;9542;0.08
7778;9543;0.06
7778;9544;0.01
7778;9545;0.07
7778;9546;0.11
7778;9547;0.02
7778;9548;0.03
7778;9549;0.01
7778;9550;0.02
7778;9551;0.02
7778;9552;0.02
7778;9553;0.01
7778;9554;0
7778;9555;0
7778;9556;0
7778;9557;0.03
7778;9558;0.09
7778;9559;0.03
7778;9560;0.1
7778;9561;0.05
7778;9562;0.2
7778;9563;0.03
7778;9564;0.15
7778;9565;0.05
7778;9566;0.02
7778;9567;0.07
7778;9568;0.04
7778;9569;0.25
7778;9570;0.37
7778;9571;0.07
7778;9572;0.21
7778;9573;0.16
7778;9574;0.02
7778;9575;0.05
7778;9576;0.01
7778;9577;0.01
7778;9578;1.61
7778;9579;0.03
7778;9580;0.08
7778;9581;0.04
7778;9582;0.14
7778;9583;0.21
7778;9584;0.28
7778;9585;0.14
7778;9586;0.05
7778;9587;0.06
7778;9588;0.05
7778;9589;0.21
7778;9590;0.04
7778;9591;0.14
7778;9592;0.1
7778;9593;0.12
7778;9594;0.03
7778;9595;0.02
7778;9596;0.03
7778;9597;0.16
7778;9598;0.1
7778;9599;0.01
7778;9600;0.13
7778;9601;0.15
7778;9602;0.18
7778;9603;0.06
7778;9604;0.03
7778;9605;0.17
7778;9606;0.06
7778;9607;0.09
7778;9608;0.14
7778;9609;0.17
7778;9610;0.29
7778;9611;0.15
7778;9612;0.07
7778;9613;0.13
7778;9614;0.02
7778;9615;0
7778;9616;0.04
7778;9617;0.06
7778;9618;0.04
7778;9619;0.1
7778;9620;0.17
7778;9621;0.15
7778;9622;0.11
7778;9623;0.27
7778;9624;0.22
7778;9625;0.14
7778;9626;0.41
7778;9627;0.39
7778;9628;0.15
7778;9629;0.14
7778;9630;0.04
7778;9631;0.05
7778;9632;0.04
7778;9633;0.09
7778;9634;0.1
7778;9635;0.04
7778;9636;0.2
7778;9637;0.05
7778;9638;0.06
7778;9639;0.02
7778;9640;0.01
7778;9641;0.03
7778;9642;0.03
7778;9643;0.04
7778;9644;0.15
7778;9645;0.16
7778;9646;0.2
7778;9647;0.07
7778;9648;0.13
7778;9649;0.08
7778;9650;0.05
7778;9651;0.14
7778;9652;0.04
7778;9653;0.02
7778;9654;0.05
7778;9655;0.03
7778;9656;0.01
7778;9657;0.07
7778;9658;0.03
7778;9659;0
7778;9660;0.11
7778;9661;0.02
7778;9662;0.14
7778;9663;0.03
7778;9664;0.13
7778;9665;0.01
7778;9666;0.18
7778;9667;0.08
7778;9668;0.02
7778;9669;0.16
7778;9670;0.13
7778;9671;0.08
7800;7778;0
7800;7800;0
7800;7802;0
7800;7803;0
7800;7805;0
7800;7806;0
7800;7809;0
7800;7810;0
7800;7812;0
7800;7813;0
7800;7814;0
7800;7815;0
7800;7817;0
7800;7818;0
7800;7819;0
7800;7820;0
7800;7837;0
7800;9065;2.34
7800;9067;0.31
7800;9068;1.74
7800;9071;1.49
7800;9073;2.53
7800;9074;0.65
7800;9075;0.45
7800;9076;1.27
7800;9077;0.27
7800;9078;2.22
7800;9079;0.76
7800;9080;0.13
7800;9081;0.82
7800;9083;0.17
7800;9086;0.86
7800;9090;0.78
7800;9092;0.42
7800;9097;1.21
7800;9098;0.55
7800;9099;0.08
7800;9100;0.2
7800;9103;0.94
7800;9104;0.43
7800;9108;6.65
7800;9109;3.08
7800;9110;0.55
7800;9111;0.4
7800;9115;0.5
7800;9116;0.24
7800;9117;0.83
7800;9118;0.4
7800;9119;0.64
7800;9120;1.27
7800;9121;0.01
7800;9122;0.4
7800;9123;0
7800;9124;0
7800;9125;1.73
7800;9126;0.46
7800;9127;0.71
7800;9128;0.67
7800;9129;0.16
7800;9130;0.29
7800;9131;0.08
7800;9132;0.1
7800;9133;0.22
7800;9136;0.08
7800;9137;0.08
7800;9139;0.03
7800;9140;0.02
7800;9141;0.02
7800;9147;0.09
7800;9149;0.06
7800;9150;0.18
7800;9151;0.09
7800;9152;0.32
7800;9154;0.4
7800;9155;0.08
7800;9156;0.39
7800;9157;0.56
7800;9159;0.04
7800;9160;0.07
7800;9161;0.33
7800;9162;0.51
7800;9163;0.32
7800;9164;0.03
7800;9165;0.06
7800;9166;0.05
7800;9167;0
7800;9168;0
7800;9169;0.2
7800;9170;0.16
7800;9171;0.04
7800;9172;0.16
7800;9173;0.07
7800;9174;0.06
7800;9175;1.27
7800;9176;1.33
7800;9177;0.32
7800;9178;0.2
7800;9179;0.21
7800;9180;0.23
7800;9181;0.09
7800;9182;0.38
7800;9183;0.12
7800;9184;0
7800;9185;0
7800;9186;0
7800;9187;0.61
7800;9188;0.53
7800;9189;0.13
7800;9190;0.45
7800;9191;0.22
7800;9192;0
7800;9193;0
7800;9194;0.12
7800;9195;0.65
7800;9196;0.06
7800;9197;0.39
7800;9198;0.04
7800;9199;0.03
7800;9200;0
7800;9202;0.1
7800;9203;0.1
7800;9204;0.61
7800;9205;0.2
7800;9206;0.72
7800;9210;0.22
