HEURE PROP,NB,PROP
05:00,61,8.8277858177
05:15,34,4.9204052098
05:30,76,10.998552822
05:45,38,5.499276411
06:00,92,13.3140376266
06:15,60,8.6830680174
06:30,180,26.0492040521
06:45,150,21.7076700434
